Artist,Title,prepText,allText
JEANDO - Club Wagon,Jonathan Roy - Life Distorsions, jesse murray i did it all for you orchestre national de jazz de montréal miles smiles wayne shines lorraine desmarais jazz trio street beat suite mirabelle flickering lights,JEANDO - Club Wagon Jonathan Roy - Life Distorsions  jesse murray i did it all for you orchestre national de jazz de montréal miles smiles wayne shines lorraine desmarais jazz trio street beat suite mirabelle flickering lights
Hélène Perreault - À distance,Elle Lapointe - NostalgiaFévrier, roby talbot échos lili gauthier lendroit où je suis née andréanne sabourincôté mauvais plis tom folly folking tard,Hélène Perreault - À distance Elle Lapointe - NostalgiaFévrier  roby talbot échos lili gauthier lendroit où je suis née andréanne sabourincôté mauvais plis tom folly folking tard
Michel Villeneuve - La Shed au Solstice,Taco Theory - Best of Taco Theory 2022, le winston band winston express janina fialkowska chopin récital zoo baby volume solastalgie solastalgie,Michel Villeneuve - La Shed au Solstice Taco Theory - Best of Taco Theory 2022  le winston band winston express janina fialkowska chopin récital zoo baby volume solastalgie solastalgie
Rachel Therrien Latin Jazz Project - Mi Hogar,Sophia Bel - Anxious Avoidant (Deluxe), lynda lemay entre la flamme et la suie amours et patterns frank moutarde léveil curepipe javais arthur h la vie,Rachel Therrien Latin Jazz Project - Mi Hogar Sophia Bel - Anxious Avoidant (Deluxe)  lynda lemay entre la flamme et la suie amours et patterns frank moutarde léveil curepipe javais arthur h la vie
Désirée - Les souvenirs flous,Hugo Mudie - Bad Vibrations, edwin raphael warm terracotta bàrbe à pàpà ton criss de riff de marde vol migmafrica à la mémoire de nos ancêtres claudie létourneau bourrasque,Désirée - Les souvenirs flous Hugo Mudie - Bad Vibrations  edwin raphael warm terracotta bàrbe à pàpà ton criss de riff de marde vol migmafrica à la mémoire de nos ancêtres claudie létourneau bourrasque
Mélina Lequy - Si tes pensées traînent,Bye Parula - I, phonz film de répertoire samuele une paillette dans lengrenage oliver forest shouldnt be too long menoncle jason live avec la paroisse live,Mélina Lequy - Si tes pensées traînent Bye Parula - I  phonz film de répertoire samuele une paillette dans lengrenage oliver forest shouldnt be too long menoncle jason live avec la paroisse live
Jean-Michel Pilc - Symphony,Jacques Kuba Séguin - Parfum no. 1, dominique beauséjourostiguy jeanmichel dubé aux deux hémisphères old soul overgrown michel barbeau hélium patche patche,Jean-Michel Pilc - Symphony Jacques Kuba Séguin - Parfum no. 1  dominique beauséjourostiguy jeanmichel dubé aux deux hémisphères old soul overgrown michel barbeau hélium patche patche
Big Brave - Nature Morte,Ingrid St-Pierre - Reines, gabrielle shonk across the room jeannot bournival avec vue sur lamer noémie kaiser lor des fous simon lachance le chemin des pots cassés,Big Brave - Nature Morte Ingrid St-Pierre - Reines  gabrielle shonk across the room jeannot bournival avec vue sur lamer noémie kaiser lor des fous simon lachance le chemin des pots cassés
Empress - Empress,Briche - Cervidés, charles robert des fragments de lumière illuminent mon corps qui se souvient transition outremer mythological nymph jeanne ménez les contretemps nolton lake dark blue,Empress - Empress Briche - Cervidés  charles robert des fragments de lumière illuminent mon corps qui se souvient transition outremer mythological nymph jeanne ménez les contretemps nolton lake dark blue
Rémi Chassé - Phénomène phéromonalMars,Frank Williams - Astheure ça s'en vient, pourpre pourpre olivia khoury portraits mirror mirror imaginary friend laroie tragedy,Rémi Chassé - Phénomène phéromonalMars Frank Williams - Astheure ça s'en vient  pourpre pourpre olivia khoury portraits mirror mirror imaginary friend laroie tragedy
